table_name,row_count
User,3
Session,77
CompanySettings,3
MessagingSettings,1
Client,13
Product,12
Quote,18
Invoice,9
Payment,0
Order,2
OrderPayment,0
QuoteRequest,0
ContactMessage,1
Account,3
AccountMembership,3
AccountMembershipPermission,0
AccountInvitation,0
AccountInvitationPermission,0
ClientService,0
ClientPayment,0
ClientPaymentService,0
